iter	Passed	Remaining
0	49	49161
1	50	25383
2	52	17428
3	53	13402
4	55	10974
5	56	9331
6	57	8181
7	59	7320
8	60	6637
9	61	6103
10	62	5662
11	64	5296
12	65	4979
13	66	4709
14	68	4476
15	69	4280
16	70	4094
17	71	3927
18	73	3777
19	74	3643
20	75	3521
21	76	3410
22	77	3312
23	79	3222
24	80	3147
25	81	3067
26	83	2992
27	84	2920
28	85	2853
29	86	2793
30	87	2736
31	88	2685
32	89	2633
33	91	2588
34	92	2546
35	93	2504
36	94	2463
37	95	2425
38	96	2387
39	98	2354
40	99	2322
41	100	2292
42	101	2260
43	102	2236
44	104	2208
45	105	2181
46	106	2156
47	107	2131
48	108	2108
49	109	2087
50	110	2065
51	112	2044
52	113	2024
53	114	2005
54	115	1988
55	116	1969
56	118	1952
57	119	1935
58	120	1921
59	121	1907
60	122	1892
61	124	1881
62	125	1866
63	126	1851
64	127	1838
65	128	1818
66	128	1795
67	129	1769
68	129	1747
69	129	1726
70	130	1704
71	130	1681
72	130	1660
73	131	1639
74	131	1619
75	131	1599
76	131	1579
77	132	1562
78	132	1545
79	132	1528
80	133	1510
81	133	1493
82	133	1476
83	134	1461
84	134	1445
85	134	1430
86	134	1414
87	135	1399
88	135	1384
89	135	1372
90	136	1359
91	136	1346
92	136	1333
93	136	1319
94	137	1307
95	137	1295
96	138	1285
97	138	1273
98	138	1261
99	138	1249
100	139	1239
101	139	1227
102	139	1218
103	140	1207
104	140	1196
105	140	1186
106	140	1176
107	141	1167
108	141	1158
109	142	1149
110	142	1139
111	142	1130
112	142	1121
113	143	1113
114	143	1105
115	143	1096
116	144	1087
117	144	1079
118	144	1070
119	144	1062
120	145	1055
121	145	1047
122	145	1038
123	145	1031
124	146	1023
125	146	1017
126	146	1010
127	147	1002
128	147	995
129	147	988
130	147	981
131	148	975
132	148	970
133	149	963
134	149	957
135	149	950
136	149	944
137	150	938
138	150	932
139	150	927
140	151	921
141	151	915
142	151	909
143	152	904
144	152	899
145	152	893
146	153	888
147	153	882
148	153	877
149	154	873
150	154	868
151	154	863
152	155	858
153	155	853
154	155	848
155	155	843
156	156	839
157	156	834
158	156	829
159	157	824
160	157	820
161	157	815
162	158	811
163	158	807
164	158	802
165	158	798
166	159	794
167	159	790
168	159	785
169	160	781
170	160	777
171	160	773
172	161	769
173	161	766
174	161	762
175	162	758
176	162	754
177	162	750
178	162	746
179	163	743
180	163	738
181	163	735
182	163	731
183	164	728
184	164	724
185	164	720
186	164	717
187	165	714
188	165	710
189	166	707
190	166	704
191	166	701
192	166	697
193	167	694
194	167	691
195	167	688
196	168	685
197	168	682
198	168	679
199	169	676
200	169	673
201	169	671
202	170	668
203	170	664
204	170	661
205	170	658
206	171	656
207	171	653
