iter	Passed	Remaining
0	46	46387
1	47	23599
2	47	15946
3	48	12049
4	48	9696
5	49	8132
6	49	7021
7	50	6290
8	51	5628
9	51	5100
10	52	4694
11	64	5336
12	65	5006
13	66	4672
14	67	4415
15	67	4167
16	68	3951
17	69	3792
18	69	3613
19	70	3452
20	71	3310
21	71	3177
22	72	3074
23	72	2965
24	73	2858
25	73	2766
26	74	2690
27	75	2612
28	84	2824
29	86	2790
30	86	2709
31	87	2632
32	87	2559
33	91	2589
34	92	2541
35	94	2523
36	97	2533
37	97	2480
38	98	2425
39	98	2374
40	99	2332
41	100	2291
42	107	2395
43	108	2348
44	108	2302
45	109	2264
46	109	2224
47	110	2186
48	110	2152
49	111	2116
50	111	2079
51	112	2044
52	112	2010
53	125	2194
54	125	2159
55	125	2123
56	126	2089
57	126	2061
58	127	2031
59	127	2003
60	128	1974
61	128	1946
62	129	1918
63	129	1891
64	129	1865
65	138	1966
66	140	1959
67	141	1941
68	142	1923
69	143	1908
70	145	1898
71	154	1992
72	155	1968
73	155	1947
74	156	1924
75	156	1903
76	157	1884
77	157	1862
78	157	1841
79	158	1820
80	158	1802
81	159	1785
82	159	1764
83	160	1747
84	160	1729
85	160	1710
86	161	1692
87	161	1674
88	161	1656
89	162	1639
90	162	1622
91	162	1606
92	163	1592
93	163	1577
94	164	1563
95	164	1548
96	164	1534
97	165	1519
98	165	1504
99	165	1491
100	166	1478
101	166	1465
102	166	1452
103	167	1438
104	167	1425
105	167	1414
106	168	1402
107	168	1390
108	168	1378
109	168	1366
110	169	1355
111	169	1344
112	169	1333
113	170	1322
114	170	1311
115	170	1301
116	171	1290
117	171	1281
118	171	1272
119	172	1262
120	172	1252
121	172	1242
122	173	1236
123	173	1227
124	174	1219
125	174	1209
126	174	1201
127	175	1193
128	175	1185
129	175	1176
130	176	1168
131	176	1159
132	176	1152
133	177	1145
134	177	1137
135	177	1129
136	178	1121
137	178	1114
138	178	1108
139	179	1101
140	179	1094
141	179	1086
142	180	1080
143	180	1073
144	180	1066
145	181	1059
146	181	1053
147	181	1047
148	182	1040
149	182	1034
150	182	1028
151	183	1022
152	183	1016
153	183	1010
154	184	1004
155	184	999
156	185	993
157	185	987
158	185	982
159	186	977
160	186	971
161	186	965
162	187	960
163	187	955
164	187	949
165	187	944
166	188	939
167	188	933
168	188	928
169	189	923
170	189	918
171	189	913
172	190	908
173	190	903
174	190	898
175	190	894
176	191	889
177	191	884
178	191	880
179	192	875
180	192	870
181	192	866
182	193	862
183	193	857
184	193	853
185	193	848
186	194	844
187	194	840
188	194	836
189	195	832
190	195	828
191	195	824
192	196	820
193	196	816
194	196	812
195	197	808
196	197	804
197	197	800
198	198	797
199	198	793
200	198	789
201	199	786
202	199	782
203	199	778
204	199	775
205	200	771
206	200	768
207	200	765
208	201	761
209	201	758
